id,x,y,elev
317,34.71055,-0.893832,1682
318,34.762761,-0.741562,1716
319,34.865118,-0.849308,1988
320,34.468009,-0.155871,1157
321,34.465785,-0.167459,1139
322,34.821972,-0.236422,1139
323,34.964198,-0.184599,1150
324,35.143776,-0.118918,1261
325,35.020662,-0.224457,1207
326,35.195839,-0.023401,1355
327,34.602911,-0.23485,1135
328,34.597459,0.007958,1526
329,34.920508,-0.066325,1192
330,34.810919,-0.025041,1215
331,34.756472,-0.128886,1141
332,34.793009,-0.129687,1144
333,34.906168,-0.30372,1146
334,35.117431,-0.149244,1252
335,34.952099,-0.093173,1177
336,35.305442,-0.224165,1494
337,35.014898,-0.29404,1219
338,34.95426,-0.090979,1177
339,34.61365,-0.121353,1236
340,38.737,-1.777967,400
341,38.814611,-1.167501,396
342,38.602799,-2.145396,457
343,38.603484,-2.250973,429
344,38.52767,-0.708801,631
345,38.42238,-1.742086,591
346,37.964182,-2.057656,801
347,38.315922,-1.550637,616
348,38.084876,-1.21228,934
349,38.381171,-2.132865,582
350,38.791774,-2.784985,368
351,38.305591,-0.917914,773
352,38.615513,-1.778479,476
353,38.167495,-1.292929,935
354,37.985821,-0.871651,969
355,38.39624,-1.15818,583
356,38.612927,-1.392196,482
357,38.379489,-0.59483,705
358,37.935514,-1.014219,1108
359,38.16373,-0.861897,754
360,38.629974,-4.229618,507
361,39.173453,-4.112639,248
362,39.121462,-4.215667,179
363,39.263639,-4.613868,4
364,38.926945,-3.976507,397
365,39.375813,-4.315961,168
366,39.325802,-4.425372,68
367,39.342484,-4.002633,257
368,39.097074,-3.701686,371
369,39.214616,-3.769564,308
370,39.267346,-3.676629,272
371,39.396099,-4.152096,161
372,39.099755,-3.963581,283
373,39.439838,-4.244271,364
374,39.333614,-4.354289,80
375,39.35691,-4.301482,152
376,39.068169,-3.885561,292
377,39.469873,-4.367393,72
378,39.28036,-3.9461,181
379,39.134355,-3.571917,350
380,36.867608,0.149575,1744
381,36.646961,0.808881,1888
382,36.69257,0.353759,1779
383,36.544409,0.463706,1919
384,36.399969,0.385068,1999
385,37.213642,0.436173,1868
386,37.131764,0.075005,1963
387,36.556001,0.634272,1861
388,36.687901,0.456183,1750
389,36.364585,0.191128,2310
390,36.70229,0.515724,1867
391,36.77273,0.622429,1765
392,37.358994,0.40761,1058
393,36.905636,0.450973,1607
394,36.352282,0.397161,2076
395,36.583599,-0.06411,2190
396,36.298921,0.231356,2161
397,36.7788,0.464745,1655
398,36.623391,0.11427,1913
399,36.880704,0.736605,1716
400,40.66448,-1.975234,26
401,40.93665,-1.727125,36
402,40.917571,-1.967453,18
403,41.124085,-2.093606,5
404,41.322804,-1.847547,18
405,41.07252,-1.997727,2
406,41.043772,-1.737744,36
407,40.508528,-2.132857,35
408,40.526422,-2.108916,32
409,40.590379,-2.165387,22
410,41.081768,-2.064426,3
411,41.085702,-1.816197,16
412,41.107816,-2.108474,6
413,40.579442,-1.911078,39
414,41.274823,-1.810235,84
415,40.981106,-2.135661,3
416,40.548714,-2.034082,35
417,40.43926,-2.305742,20
418,40.586614,-2.055263,32
419,41.113407,-1.782057,22
420,37.374651,-1.157783,1223
421,37.743154,-0.814727,944
422,37.487554,-1.052032,1116
423,37.788025,-1.116416,1166
424,37.416166,-1.351061,1357
425,37.591771,-1.016545,1145
426,37.38808,-1.161741,1216
427,37.452588,-0.996471,1085
428,37.292638,-1.145807,1364
429,37.077953,-1.571787,1623
430,37.35789,-0.86286,1078
431,37.762277,-0.86941,959
432,37.218182,-1.363608,1557
433,37.823526,-0.841809,826
434,37.679376,-1.325827,1157
435,37.505212,-1.055215,1171
436,37.439154,-1.247698,1201
437,37.214852,-1.229937,1496
438,37.27871,-1.434634,1957
439,37.729177,-1.04056,1252
440,37.655181,-2.09067,1054
441,37.642426,-2.067233,1043
442,38.070929,-2.356497,769
443,38.278629,-2.660182,632
444,38.302157,-2.592583,594
445,38.219462,-2.715162,694
446,37.558883,-1.59295,1210
447,37.961094,-2.624984,1038
448,37.348339,-1.810488,1893
449,37.787477,-2.41744,1109
450,37.99673,-2.621724,954
451,37.592855,-2.007573,1047
452,37.743026,-1.794852,1013
453,37.556132,-1.581574,1202
454,37.379598,-1.790421,1831
455,37.407372,-1.672097,1388
456,37.277721,-1.862567,1572
457,37.943356,-2.722484,1420
458,37.725995,-2.174189,914
459,37.850028,-2.12581,840
460,41.112536,3.282077,514
461,40.059133,3.409778,659
462,39.947078,3.29831,655
463,40.356248,3.117002,511
464,40.640079,2.592582,380
465,41.413643,3.634925,426
466,40.706393,3.172559,497
467,40.342007,3.668128,760
468,40.676001,2.723885,412
469,40.658094,3.70983,761
470,40.853429,2.520119,419
471,40.451316,3.345864,565
472,40.885518,2.463848,384
473,41.03401,3.782204,491
474,40.940877,3.623326,553
